"Species","Period","EEZ","Model","Variable","RCP","Value","Totals"
"Limanda ferruginea","Begining","Canada","Average","Future_Cost","Low",2223367.72803092,NA
"Limanda ferruginea","Begining","Canada","Average","Future_Landings","Low",1310.22508580189,NA
"Limanda ferruginea","Begining","Canada","Average","Future_Revenue","Low",4288170.17206671,NA
"Limanda ferruginea","Begining","Canada","Average","Profit","Low",2064802.44403578,NA
"Limanda ferruginea","Begining","USA","Average","Future_Cost","Low",405937.639674811,NA
"Limanda ferruginea","Begining","USA","Average","Future_Landings","Low",202.661813033343,NA
"Limanda ferruginea","Begining","USA","Average","Future_Revenue","Low",683659.360086678,NA
"Limanda ferruginea","Begining","USA","Average","Profit","Low",277721.720411867,NA
"Limanda ferruginea","End Century","Canada","Average","Future_Cost","Low",1908987.70527981,NA
"Limanda ferruginea","End Century","Canada","Average","Future_Landings","Low",1124.9617183929,NA
"Limanda ferruginea","End Century","Canada","Average","Future_Revenue","Low",3681830.96004221,NA
"Limanda ferruginea","End Century","Canada","Average","Profit","Low",1772843.2547624,NA
"Limanda ferruginea","End Century","USA","Average","Future_Cost","Low",288849.237143971,NA
"Limanda ferruginea","End Century","USA","Average","Future_Landings","Low",144.206164621219,NA
"Limanda ferruginea","End Century","USA","Average","Future_Revenue","Low",486465.075733221,NA
"Limanda ferruginea","End Century","USA","Average","Profit","Low",197615.838589251,NA
"Limanda ferruginea","Mid Century","Canada","Average","Future_Cost","Low",1909122.59556765,NA
"Limanda ferruginea","Mid Century","Canada","Average","Future_Landings","Low",1125.04120890485,NA
"Limanda ferruginea","Mid Century","Canada","Average","Future_Revenue","Low",3682091.12056425,NA
"Limanda ferruginea","Mid Century","Canada","Average","Profit","Low",1772968.5249966,NA
"Limanda ferruginea","Mid Century","USA","Average","Future_Cost","Low",303031.563003396,NA
"Limanda ferruginea","Mid Century","USA","Average","Future_Landings","Low",151.286601591793,NA
"Limanda ferruginea","Mid Century","USA","Average","Future_Revenue","Low",510350.221809753,NA
"Limanda ferruginea","Mid Century","USA","Average","Profit","Low",207318.658806357,NA
"Limanda ferruginea","Begining",NA,"Average","Future_Cost","Low",NA,2629305.36770574
"Limanda ferruginea","Begining",NA,"Average","Future_Landings","Low",NA,1512.88689883523
"Limanda ferruginea","Begining",NA,"Average","Future_Revenue","Low",NA,4971829.53215338
"Limanda ferruginea","Begining",NA,"Average","Profit","Low",NA,2342524.16444765
"Limanda ferruginea","End Century",NA,"Average","Future_Cost","Low",NA,2197836.94242378
"Limanda ferruginea","End Century",NA,"Average","Future_Landings","Low",NA,1269.16788301412
"Limanda ferruginea","End Century",NA,"Average","Future_Revenue","Low",NA,4168296.03577543
"Limanda ferruginea","End Century",NA,"Average","Profit","Low",NA,1970459.09335165
"Limanda ferruginea","Mid Century",NA,"Average","Future_Cost","Low",NA,2212154.15857105
"Limanda ferruginea","Mid Century",NA,"Average","Future_Landings","Low",NA,1276.32781049665
"Limanda ferruginea","Mid Century",NA,"Average","Future_Revenue","Low",NA,4192441.342374
"Limanda ferruginea","Mid Century",NA,"Average","Profit","Low",NA,1980287.18380296
"Melanogrammus aeglefinus","Begining","Canada","Average","Future_Cost","High",8598881.06331007,NA
"Melanogrammus aeglefinus","Begining","Canada","Average","Future_Landings","High",5067.29927619916,NA
"Melanogrammus aeglefinus","Begining","Canada","Average","Future_Revenue","High",7290070.10370392,NA
"Melanogrammus aeglefinus","Begining","Canada","Average","Profit","High",-1308810.95960616,NA
"Melanogrammus aeglefinus","Begining","USA","Average","Future_Cost","High",780376.770088087,NA
"Melanogrammus aeglefinus","Begining","USA","Average","Future_Landings","High",389.598193461066,NA
"Melanogrammus aeglefinus","Begining","USA","Average","Future_Revenue","High",1174404.79436904,NA
"Melanogrammus aeglefinus","Begining","USA","Average","Profit","High",394028.024280951,NA
"Melanogrammus aeglefinus","End Century","Canada","Average","Future_Cost","High",6805637.39527497,NA
"Melanogrammus aeglefinus","End Century","Canada","Average","Future_Landings","High",4010.54523178572,NA
"Melanogrammus aeglefinus","End Century","Canada","Average","Future_Revenue","High",5769770.89770853,NA
"Melanogrammus aeglefinus","End Century","Canada","Average","Profit","High",-1035866.49756644,NA
"Melanogrammus aeglefinus","End Century","USA","Average","Future_Cost","High",264087.071781175,NA
"Melanogrammus aeglefinus","End Century","USA","Average","Future_Landings","High",131.843809331684,NA
"Melanogrammus aeglefinus","End Century","USA","Average","Future_Revenue","High",397429.978849427,NA
"Melanogrammus aeglefinus","End Century","USA","Average","Profit","High",133342.907068252,NA
"Melanogrammus aeglefinus","Mid Century","Canada","Average","Future_Cost","High",7953133.10713155,NA
"Melanogrammus aeglefinus","Mid Century","Canada","Average","Future_Landings","High",4686.7616077678,NA
"Melanogrammus aeglefinus","Mid Century","Canada","Average","Future_Revenue","High",6742609.58701515,NA
"Melanogrammus aeglefinus","Mid Century","Canada","Average","Profit","High",-1210523.5201164,NA
"Melanogrammus aeglefinus","Mid Century","USA","Average","Future_Cost","High",560621.118790534,NA
"Melanogrammus aeglefinus","Mid Century","USA","Average","Future_Landings","High",279.886566936455,NA
"Melanogrammus aeglefinus","Mid Century","USA","Average","Future_Revenue","High",843690.06737325,NA
"Melanogrammus aeglefinus","Mid Century","USA","Average","Profit","High",283068.948582716,NA
"Melanogrammus aeglefinus","Begining",NA,"Average","Future_Cost","High",NA,9379257.83339816
"Melanogrammus aeglefinus","Begining",NA,"Average","Future_Landings","High",NA,5456.89746966022
"Melanogrammus aeglefinus","Begining",NA,"Average","Future_Revenue","High",NA,8464474.89807295
"Melanogrammus aeglefinus","Begining",NA,"Average","Profit","High",NA,-914782.935325206
"Melanogrammus aeglefinus","End Century",NA,"Average","Future_Cost","High",NA,7069724.46705615
"Melanogrammus aeglefinus","End Century",NA,"Average","Future_Landings","High",NA,4142.38904111741
"Melanogrammus aeglefinus","End Century",NA,"Average","Future_Revenue","High",NA,6167200.87655796
"Melanogrammus aeglefinus","End Century",NA,"Average","Profit","High",NA,-902523.590498187
"Melanogrammus aeglefinus","Mid Century",NA,"Average","Future_Cost","High",NA,8513754.22592208
"Melanogrammus aeglefinus","Mid Century",NA,"Average","Future_Landings","High",NA,4966.64817470426
"Melanogrammus aeglefinus","Mid Century",NA,"Average","Future_Revenue","High",NA,7586299.6543884
"Melanogrammus aeglefinus","Mid Century",NA,"Average","Profit","High",NA,-927454.571533682
"Melanogrammus aeglefinus","Begining","Canada","Average","Future_Cost","Low",8598881.06331007,NA
"Melanogrammus aeglefinus","Begining","Canada","Average","Future_Landings","Low",5067.29927619916,NA
"Melanogrammus aeglefinus","Begining","Canada","Average","Future_Revenue","Low",7290070.10370392,NA
"Melanogrammus aeglefinus","Begining","Canada","Average","Profit","Low",-1308810.95960616,NA
"Melanogrammus aeglefinus","Begining","USA","Average","Future_Cost","Low",780376.770088087,NA
"Melanogrammus aeglefinus","Begining","USA","Average","Future_Landings","Low",389.598193461066,NA
"Melanogrammus aeglefinus","Begining","USA","Average","Future_Revenue","Low",1174404.79436904,NA
"Melanogrammus aeglefinus","Begining","USA","Average","Profit","Low",394028.024280951,NA
"Melanogrammus aeglefinus","End Century","Canada","Average","Future_Cost","Low",7503235.43008273,NA
"Melanogrammus aeglefinus","End Century","Canada","Average","Future_Landings","Low",4421.63802290971,NA
"Melanogrammus aeglefinus","End Century","Canada","Average","Future_Revenue","Low",6361189.54165905,NA
"Melanogrammus aeglefinus","End Century","Canada","Average","Profit","Low",-1142045.88842368,NA
"Melanogrammus aeglefinus","End Century","USA","Average","Future_Cost","Low",542367.820793922,NA
"Melanogrammus aeglefinus","End Century","USA","Average","Future_Landings","Low",270.773722735078,NA
"Melanogrammus aeglefinus","End Century","USA","Average","Future_Revenue","Low",816220.309812619,NA
"Melanogrammus aeglefinus","End Century","USA","Average","Profit","Low",273852.489018697,NA
"Melanogrammus aeglefinus","Mid Century","Canada","Average","Future_Cost","Low",7805263.94425053,NA
"Melanogrammus aeglefinus","Mid Century","Canada","Average","Future_Landings","Low",4599.62267695548,NA
"Melanogrammus aeglefinus","Mid Century","Canada","Average","Future_Revenue","Low",6617247.164202,NA
"Melanogrammus aeglefinus","Mid Century","Canada","Average","Profit","Low",-1188016.78004853,NA
"Melanogrammus aeglefinus","Mid Century","USA","Average","Future_Cost","Low",632924.322075424,NA
"Melanogrammus aeglefinus","Mid Century","USA","Average","Future_Landings","Low",315.983486348935,NA
"Melanogrammus aeglefinus","Mid Century","USA","Average","Future_Revenue","Low",952500.62125023,NA
"Melanogrammus aeglefinus","Mid Century","USA","Average","Profit","Low",319576.299174806,NA
"Melanogrammus aeglefinus","Begining",NA,"Average","Future_Cost","Low",NA,9379257.83339816
"Melanogrammus aeglefinus","Begining",NA,"Average","Future_Landings","Low",NA,5456.89746966022
"Melanogrammus aeglefinus","Begining",NA,"Average","Future_Revenue","Low",NA,8464474.89807295
"Melanogrammus aeglefinus","Begining",NA,"Average","Profit","Low",NA,-914782.935325206
"Melanogrammus aeglefinus","End Century",NA,"Average","Future_Cost","Low",NA,8045603.25087665
"Melanogrammus aeglefinus","End Century",NA,"Average","Future_Landings","Low",NA,4692.41174564479
"Melanogrammus aeglefinus","End Century",NA,"Average","Future_Revenue","Low",NA,7177409.85147167
"Melanogrammus aeglefinus","End Century",NA,"Average","Profit","Low",NA,-868193.399404982
"Melanogrammus aeglefinus","Mid Century",NA,"Average","Future_Cost","Low",NA,8438188.26632595
"Melanogrammus aeglefinus","Mid Century",NA,"Average","Future_Landings","Low",NA,4915.60616330442
"Melanogrammus aeglefinus","Mid Century",NA,"Average","Future_Revenue","Low",NA,7569747.78545223
"Melanogrammus aeglefinus","Mid Century",NA,"Average","Profit","Low",NA,-868440.480873719
"Merluccius productus","Begining","Canada","Average","Future_Cost","High",NA,NA
"Merluccius productus","Begining","Canada","Average","Future_Landings","High",14085.3361142743,NA
"Merluccius productus","Begining","Canada","Average","Future_Revenue","High",3116380.61528318,NA
"Merluccius productus","Begining","Canada","Average","Profit","High",NA,NA
"Merluccius productus","Begining","USA","Average","Future_Cost","High",NA,NA
"Merluccius productus","Begining","USA","Average","Future_Landings","High",66540.4410689037,NA
"Merluccius productus","Begining","USA","Average","Future_Revenue","High",16631783.2451725,NA
"Merluccius productus","Begining","USA","Average","Profit","High",NA,NA
"Merluccius productus","End Century","Canada","Average","Future_Cost","High",NA,NA
"Merluccius productus","End Century","Canada","Average","Future_Landings","High",14527.8546187919,NA
"Merluccius productus","End Century","Canada","Average","Future_Revenue","High",3214287.83440772,NA
"Merluccius productus","End Century","Canada","Average","Profit","High",NA,NA
"Merluccius productus","End Century","USA","Average","Future_Cost","High",NA,NA
"Merluccius productus","End Century","USA","Average","Future_Landings","High",57840.3998572268,NA
"Merluccius productus","End Century","USA","Average","Future_Revenue","High",14457207.9443138,NA
"Merluccius productus","End Century","USA","Average","Profit","High",NA,NA
"Merluccius productus","Mid Century","Canada","Average","Future_Cost","High",NA,NA
"Merluccius productus","Mid Century","Canada","Average","Future_Landings","High",13928.3697575307,NA
"Merluccius productus","Mid Century","Canada","Average","Future_Revenue","High",3081651.80885368,NA
"Merluccius productus","Mid Century","Canada","Average","Profit","High",NA,NA
"Merluccius productus","Mid Century","USA","Average","Future_Cost","High",NA,NA
"Merluccius productus","Mid Century","USA","Average","Future_Landings","High",63548.1562042816,NA
"Merluccius productus","Mid Century","USA","Average","Future_Revenue","High",15883861.6432602,NA
"Merluccius productus","Mid Century","USA","Average","Profit","High",NA,NA
"Merluccius productus","Begining",NA,"Average","Future_Cost","High",NA,0
"Merluccius productus","Begining",NA,"Average","Future_Landings","High",NA,80625.777183178
"Merluccius productus","Begining",NA,"Average","Future_Revenue","High",NA,19748163.8604557
"Merluccius productus","Begining",NA,"Average","Profit","High",NA,0
"Merluccius productus","End Century",NA,"Average","Future_Cost","High",NA,0
"Merluccius productus","End Century",NA,"Average","Future_Landings","High",NA,72368.2544760187
"Merluccius productus","End Century",NA,"Average","Future_Revenue","High",NA,17671495.7787216
"Merluccius productus","End Century",NA,"Average","Profit","High",NA,0
"Merluccius productus","Mid Century",NA,"Average","Future_Cost","High",NA,0
"Merluccius productus","Mid Century",NA,"Average","Future_Landings","High",NA,77476.5259618123
"Merluccius productus","Mid Century",NA,"Average","Future_Revenue","High",NA,18965513.4521139
"Merluccius productus","Mid Century",NA,"Average","Profit","High",NA,0
"Merluccius productus","Begining","Canada","Average","Future_Cost","Low",NA,NA
"Merluccius productus","Begining","Canada","Average","Future_Landings","Low",14085.3361142743,NA
"Merluccius productus","Begining","Canada","Average","Future_Revenue","Low",3116380.61528318,NA
"Merluccius productus","Begining","Canada","Average","Profit","Low",NA,NA
"Merluccius productus","Begining","USA","Average","Future_Cost","Low",NA,NA
"Merluccius productus","Begining","USA","Average","Future_Landings","Low",66540.4410689037,NA
"Merluccius productus","Begining","USA","Average","Future_Revenue","Low",16631783.2451725,NA
"Merluccius productus","Begining","USA","Average","Profit","Low",NA,NA
"Merluccius productus","End Century","Canada","Average","Future_Cost","Low",NA,NA
"Merluccius productus","End Century","Canada","Average","Future_Landings","Low",14474.5481071776,NA
"Merluccius productus","End Century","Canada","Average","Future_Revenue","Low",3202493.76871305,NA
"Merluccius productus","End Century","Canada","Average","Profit","Low",NA,NA
"Merluccius productus","End Century","USA","Average","Future_Cost","Low",NA,NA
"Merluccius productus","End Century","USA","Average","Future_Landings","Low",54825.1233083399,NA
"Merluccius productus","End Century","USA","Average","Future_Revenue","Low",13703539.5709196,NA
"Merluccius productus","End Century","USA","Average","Profit","Low",NA,NA
"Merluccius productus","Mid Century","Canada","Average","Future_Cost","Low",NA,NA
"Merluccius productus","Mid Century","Canada","Average","Future_Landings","Low",15284.5410071065,NA
"Merluccius productus","Mid Century","Canada","Average","Future_Revenue","Low",3381704.6978223,NA
"Merluccius productus","Mid Century","Canada","Average","Profit","Low",NA,NA
"Merluccius productus","Mid Century","USA","Average","Future_Cost","Low",NA,NA
"Merluccius productus","Mid Century","USA","Average","Future_Landings","Low",60999.6603870793,NA
"Merluccius productus","Mid Century","USA","Average","Future_Revenue","Low",15246865.1137505,NA
"Merluccius productus","Mid Century","USA","Average","Profit","Low",NA,NA
"Merluccius productus","Begining",NA,"Average","Future_Cost","Low",NA,0
"Merluccius productus","Begining",NA,"Average","Future_Landings","Low",NA,80625.777183178
"Merluccius productus","Begining",NA,"Average","Future_Revenue","Low",NA,19748163.8604557
"Merluccius productus","Begining",NA,"Average","Profit","Low",NA,0
"Merluccius productus","End Century",NA,"Average","Future_Cost","Low",NA,0
"Merluccius productus","End Century",NA,"Average","Future_Landings","Low",NA,69299.6714155175
"Merluccius productus","End Century",NA,"Average","Future_Revenue","Low",NA,16906033.3396326
"Merluccius productus","End Century",NA,"Average","Profit","Low",NA,0
"Merluccius productus","Mid Century",NA,"Average","Future_Cost","Low",NA,0
"Merluccius productus","Mid Century",NA,"Average","Future_Landings","Low",NA,76284.2013941857
"Merluccius productus","Mid Century",NA,"Average","Future_Revenue","Low",NA,18628569.8115728
"Merluccius productus","Mid Century",NA,"Average","Profit","Low",NA,0
